position (Re),perp scale (1/m)
2.68471e+07,1.26594e-05
2.69619e+07,1.27636e-05
2.70766e+07,1.28684e-05
2.71913e+07,1.29735e-05
2.73061e+07,1.30791e-05
2.74208e+07,1.31852e-05
2.75355e+07,1.32917e-05
2.76503e+07,1.33986e-05
2.7765e+07,1.3506e-05
2.78797e+07,1.36138e-05
2.79944e+07,1.37221e-05
2.81092e+07,1.38308e-05
2.82239e+07,1.39399e-05
2.83386e+07,1.40496e-05
2.84534e+07,1.41596e-05
2.85681e+07,1.42701e-05
2.86828e+07,1.4381e-05
2.87976e+07,1.44924e-05
2.89123e+07,1.46042e-05
2.9027e+07,1.47165e-05
2.91418e+07,1.48292e-05
2.92565e+07,1.49424e-05
2.93712e+07,1.5056e-05
2.9486e+07,1.51701e-05
2.96007e+07,1.52845e-05
2.97154e+07,1.53995e-05
2.98301e+07,1.55149e-05
2.99449e+07,1.56307e-05
3.00596e+07,1.5747e-05
3.01743e+07,1.58637e-05
3.02891e+07,1.59809e-05
3.04038e+07,1.60985e-05
3.05185e+07,1.62165e-05
3.06333e+07,1.6335e-05
3.0748e+07,1.6454e-05
3.08627e+07,1.65733e-05
3.09775e+07,1.66932e-05
3.10922e+07,1.68135e-05
3.12069e+07,1.69342e-05
3.13217e+07,1.70553e-05
3.14364e+07,1.71769e-05
3.15511e+07,1.7299e-05
3.16658e+07,1.74215e-05
3.17806e+07,1.75444e-05
3.18953e+07,1.76678e-05
3.201e+07,1.77917e-05
3.21248e+07,1.79159e-05
3.22395e+07,1.80407e-05
3.23542e+07,1.81658e-05
3.2469e+07,1.82914e-05
3.25837e+07,1.84175e-05
3.26984e+07,1.8544e-05
3.28132e+07,1.8671e-05
3.29279e+07,1.87983e-05
3.30426e+07,1.89262e-05
3.31574e+07,1.90545e-05
3.32721e+07,1.91832e-05
3.33868e+07,1.93123e-05
3.35015e+07,1.9442e-05
3.36163e+07,1.9572e-05
3.3731e+07,1.97025e-05
3.38457e+07,1.98335e-05
3.39605e+07,1.99649e-05
3.40752e+07,2.00967e-05
3.41899e+07,2.0229e-05
3.43047e+07,2.03617e-05
3.44194e+07,2.04949e-05
3.45341e+07,2.06285e-05
3.46489e+07,2.07626e-05
3.47636e+07,2.08971e-05
3.48783e+07,2.1032e-05
3.49931e+07,2.11674e-05
3.51078e+07,2.13032e-05
3.52225e+07,2.14395e-05
3.53372e+07,2.15762e-05
3.5452e+07,2.17134e-05
3.55667e+07,2.1851e-05
3.56814e+07,2.19891e-05
3.57962e+07,2.21276e-05
3.59109e+07,2.22666e-05
3.60256e+07,2.2406e-05
3.61404e+07,2.25458e-05
3.62551e+07,2.26861e-05
3.63698e+07,2.28268e-05
3.64846e+07,2.2968e-05
3.65993e+07,2.31096e-05
3.6714e+07,2.32517e-05
3.68288e+07,2.33942e-05
3.69435e+07,2.35371e-05
3.70582e+07,2.36805e-05
3.7173e+07,2.38244e-05
3.72877e+07,2.39687e-05
3.74024e+07,2.41134e-05
3.75171e+07,2.42586e-05
3.76319e+07,2.44042e-05
3.77466e+07,2.45502e-05
3.78613e+07,2.46968e-05
3.79761e+07,2.48437e-05
3.80908e+07,2.49911e-05
3.82055e+07,2.5139e-05
3.83203e+07,2.52872e-05
3.8435e+07,2.5436e-05
3.85497e+07,2.55852e-05
3.86645e+07,2.57348e-05
3.87792e+07,2.58848e-05
3.88939e+07,2.60354e-05
3.90087e+07,2.61863e-05
3.91234e+07,2.63377e-05
3.92381e+07,2.64896e-05
3.93528e+07,2.66418e-05
3.94676e+07,2.67946e-05
3.95823e+07,2.69478e-05
3.9697e+07,2.71014e-05
